Geneid,CHD1male1,CHD1male2,OREmale1,OREmale2
FBgn0029840,964,329,1844,1445
FBgn0029839,133,45,298,267
FBgn0029838,23,14,38,40
FBgn0029837,172,67,361,291
FBgn0003302,60,24,124,93
FBgn0029003,109,40,243,223
FBgn0027546,115,52,201,179
FBgn0005390,26,12,28,17
FBgn0029851,174,55,129,123
FBgn0015818,94,37,175,145
FBgn0029853,27,18,96,93
FBgn0028982,1380,571,2464,1982
FBgn0029857,116,29,229,168
FBgn0029858,63,28,94,55
FBgn0029861,204,76,429,378
FBgn0029863,31,14,67,80
FBgn0029864,1408,490,2652,2033
FBgn0029866,224,110,536,451
FBgn0029867,188,76,398,369
FBgn0052748,0,0,0,0
FBgn0029873,107,51,209,155
FBgn0014031,624,146,711,605
FBgn0000524,145,55,242,247
FBgn0014026,4528,1829,9010,7608
FBgn0029874,62,24,92,64
FBgn0003139,169,63,301,252
FBgn0003655,14,0,6,4
FBgn0016974,2,2,12,9
FBgn0029868,418,203,782,671
FBgn0043796,139,51,248,143
FBgn0028685,274,118,460,412
FBgn0026015,356,119,508,453
FBgn0029856,49,20,33,16
FBgn0052745,13,8,22,27
FBgn0040918,308,116,401,337
FBgn0004611,3208,1114,5189,4399
FBgn0053127,64,14,70,59
FBgn0000061,4,4,8,6
FBgn0003278,67,23,102,88
FBgn0002593,3328,1334,5847,5267
FBgn0031254,4,0,6,1
FBgn0031255,11,7,34,24
FBgn0004583,384,186,974,853
FBgn0031256,98,49,129,153
FBgn0031257,401,131,541,526
FBgn0027592,198,81,330,293
FBgn0003963,204,104,417,374
FBgn0031263,16,11,17,30
FBgn0031265,90,24,165,131
FBgn0031266,493,201,771,589
FBgn0031268,82,20,187,190
FBgn0023489,266,96,472,502
FBgn0010323,19,5,45,22
FBgn0013323,8,4,10,20
FBgn0031267,42,14,72,72
FBgn0021874,54,19,101,80
FBgn0031264,106,51,128,89
FBgn0005660,44,14,638,550
FBgn0031260,389,120,533,436
FBgn0010602,242,97,362,265
FBgn0043364,963,524,2061,1728
FBgn0031258,912,364,1519,1321
FBgn0015924,710,323,1048,934
FBgn0031253,15,8,22,29
FBgn0031252,2,0,2,2
FBgn0031251,50,31,100,68
FBgn0031250,32,16,30,29
FBgn0051921,55,21,91,95
FBgn0031249,61,11,73,52
FBgn0031248,56,19,78,63
FBgn0067779,535,197,569,514
FBgn0031213,506,169,678,648
FBgn0031214,177,70,185,164
FBgn0031216,1326,451,1892,1825
FBgn0031217,94,28,159,145
FBgn0001142,1175,623,2644,2183
FBgn0031224,58,26,142,95
FBgn0031228,220,87,310,358
FBgn0031229,117,62,195,146
FBgn0031231,76,28,109,110
FBgn0031233,251,107,409,366
FBgn0031235,78,19,107,131
FBgn0031240,81,17,118,124
FBgn0003444,147,38,223,236
FBgn0031247,35,15,56,37
FBgn0024352,645,250,1710,1513
FBgn0020622,529,195,761,648
FBgn0017457,133,68,263,225
FBgn0025686,28,14,39,33
FBgn0031245,367,199,482,439
FBgn0031244,62,38,141,95
FBgn0031238,98,39,196,178
FBgn0031239,721,262,1390,1282
FBgn0031232,24,20,40,39
FBgn0031227,20,12,48,42
FBgn0051974,181,79,196,205
FBgn0051975,0,0,0,0
FBgn0051976,0,0,0,0
FBgn0031219,26,6,19,22
FBgn0026787,230,76,302,254
FBgn0002931,138,57,104,117
FBgn0051973,1254,452,1243,1136
FBgn0031209,13,2,8,7
FBgn0002121,689,225,1196,1120
FBgn0036970,12,2,14,21
FBgn0036974,800,265,1793,1618
FBgn0036975,589,248,990,855
FBgn0024887,60,20,77,46
FBgn0036977,2,0,0,4
FBgn0001259,50,20,40,35
FBgn0036979,16,6,17,13
FBgn0036980,768,257,1482,1237
FBgn0036985,63,16,54,58
FBgn0036991,129,48,268,230
FBgn0036993,229,70,359,317
FBgn0036996,83,2,49,32
FBgn0036997,328,79,780,643
FBgn0036998,33,18,59,75
FBgn0036999,93,27,153,149
FBgn0037001,1283,561,2126,1902
FBgn0052425,920,387,1274,1172
FBgn0037003,45,17,72,45
FBgn0037004,16,9,36,36
FBgn0037005,48,8,78,39
FBgn0037009,56,28,73,70
FBgn0037011,70,34,109,111
FBgn0037013,6,4,18,13
FBgn0001323,138,43,182,135
FBgn0037012,50,35,108,110
FBgn0037008,55,41,110,58
FBgn0037007,860,431,1407,1384
FBgn0037000,81,30,98,82
FBgn0052428,184,72,266,279
FBgn0036995,407,145,695,535
FBgn0036994,72,30,142,101
FBgn0036992,958,226,1314,1075
FBgn0036990,65,24,92,106
FBgn0029158,173,66,235,200
FBgn0036988,103,59,178,173
FBgn0036987,67,50,113,100
FBgn0036986,260,121,361,312
FBgn0036984,456,193,749,627
FBgn0028978,260,112,1041,833
FBgn0027565,72,48,218,215
FBgn0001247,915,402,1265,1027
FBgn0036978,4,0,0,2
FBgn0036973,52,12,53,52
FBgn0037014,16,13,20,28
FBgn0037016,145,52,225,180
FBgn0040634,2,7,13,10
FBgn0016696,2347,872,3888,3373
FBgn0037020,149,49,260,211
FBgn0037024,207,64,342,324
FBgn0037025,34,11,72,60
FBgn0037027,537,205,1047,900
FBgn0037030,0,0,2,1
FBgn0040636,27,17,93,91
FBgn0037031,144,56,170,179
FBgn0040637,2,0,0,2
FBgn0037035,20,4,43,26
FBgn0011591,329,112,545,461
FBgn0052432,2756,965,5282,4314
FBgn0027055,151,64,253,212
FBgn0037026,191,84,445,344
FBgn0037023,0,0,4,2
FBgn0027364,0,1,12,14
FBgn0037022,0,0,0,0
FBgn0037021,845,326,1550,1242
FBgn0037019,98,20,152,105
FBgn0037018,68,16,74,81
FBgn0037017,48,9,76,61
FBgn0045474,29,4,47,21
FBgn0037015,274,98,440,405
FBgn0001320,149,36,177,151
FBgn0037037,2,0,0,2
FBgn0053283,0,0,0,0
FBgn0037042,16,2,2,4
FBgn0037044,110,45,178,162
FBgn0028402,76,25,133,115
FBgn0026179,2732,1025,5793,4735
FBgn0053284,10,5,27,25
FBgn0037050,160,75,270,257
FBgn0037057,343,120,537,489
FBgn0037060,907,298,1018,794
FBgn0028427,265,108,458,372
FBgn0004865,447,163,814,658
FBgn0037061,39,13,33,37
FBgn0037059,4,0,8,2
FBgn0053056,240,74,431,353
FBgn0053054,17,5,31,20
FBgn0041100,30,8,30,37
FBgn0024150,230,102,448,413
FBgn0037051,325,143,562,550
FBgn0020294,369,144,686,562
FBgn0053285,6,5,11,8
FBgn0037045,43,26,80,78
FBgn0003415,4068,1403,6018,5225
FBgn0053286,2,0,0,0
FBgn0053287,2,2,0,0
FBgn0037040,0,0,4,0
FBgn0037039,4,0,0,2
FBgn0037038,2,0,3,0
FBgn0037036,0,0,0,0
FBgn0037068,7,2,14,8
FBgn0037069,23,0,23,29
FBgn0037071,110,50,111,139
FBgn0037073,192,53,277,245
FBgn0052436,8,0,10,4
FBgn0052437,0,0,0,0
FBgn0052440,0,0,0,2
FBgn0053288,66,24,137,94
FBgn0005694,588,197,1059,899
FBgn0037087,26,12,59,72
FBgn0037090,315,114,512,450
FBgn0037092,214,70,332,255
