Geneid,CHD1fem1,CHD1fem2,CHD1male1,CHD1male2,OREfem1,OREfem2,OREmale1,OREmale2
FBgn0028474,213,108,336,151,392,275,622,552
FBgn0029785,884,433,1079,474,2767,2161,2316,2141
FBgn0003747,8,0,3,0,5,5,8,4
FBgn0000394,47,38,93,47,117,69,139,157
FBgn0029791,254,151,404,214,381,292,589,446
FBgn0029795,32,14,68,18,89,89,146,145
FBgn0029798,46,20,79,18,60,43,135,115
FBgn0029799,43,17,98,21,185,102,325,258
FBgn0029801,258,119,377,112,618,396,937,751
FBgn0029809,2,2,6,0,6,4,16,10
FBgn0029810,430,281,1330,564,1457,1136,2552,2279
FBgn0029811,0,0,0,0,2,0,0,0
FBgn0029812,2,0,0,0,0,0,0,0
FBgn0029814,961,456,1776,821,1809,1482,2803,2530
FBgn0052761,1,0,2,0,8,0,4,1
FBgn0029816,1,0,0,0,0,0,0,0
FBgn0029817,0,0,0,0,0,2,2,2
FBgn0029820,262,137,513,172,632,996,785,759
FBgn0029821,12,10,8,2,69,80,31,32
FBgn0029822,258,156,378,171,509,472,697,573
FBgn0029823,358,478,1209,268,1803,3178,2629,2161
FBgn0029819,236,102,386,182,452,381,657,520
FBgn0014340,67,53,156,99,211,227,272,285
FBgn0029818,118,84,227,117,242,169,395,301
FBgn0029813,2,0,0,0,12,6,18,8
FBgn0029807,13,13,31,10,37,47,53,51
FBgn0029804,140,71,233,135,283,215,459,358
FBgn0013987,271,180,428,187,568,487,719,742
FBgn0029800,30,18,52,31,151,87,145,150
FBgn0261383,540,308,922,331,783,702,1139,900
FBgn0052758,531,310,985,452,1378,1009,2080,1973
FBgn0053080,417,283,828,355,538,478,955,758
FBgn0027564,78,91,210,83,105,90,249,222
FBgn0029789,130,108,276,109,312,240,557,456
FBgn0046687,32,42,85,23,154,86,194,183
FBgn0015794,64,60,153,53,171,157,225,178
FBgn0029783,3,1,7,4,14,6,18,9
FBgn0029824,212,121,383,133,402,373,544,475
FBgn0029825,31,26,69,28,101,66,116,127
FBgn0052756,33,19,108,28,138,112,215,162
FBgn0029826,6,12,29,8,63,43,101,71
FBgn0052755,6,2,3,4,22,16,36,42
FBgn0029827,0,2,0,0,2,0,0,0
FBgn0029828,224,167,443,144,520,329,566,427
FBgn0029830,38,28,110,61,138,213,279,219
FBgn0029831,1288,491,1973,1111,6864,7918,5813,5063
FBgn0029833,87,66,83,58,182,113,181,167
FBgn0029834,986,635,1976,830,1894,1589,3608,3148
FBgn0029835,86,44,126,72,160,114,280,189
FBgn0029843,195,137,474,216,410,315,762,639
FBgn0029849,113,86,285,110,245,182,450,394
FBgn0003514,255,178,510,276,591,421,806,736
FBgn0029848,0,2,10,2,0,2,4,1
FBgn0040069,0,0,0,0,0,0,0,2
FBgn0052751,0,0,0,0,0,0,0,0
FBgn0052750,4,0,6,4,9,8,8,8
FBgn0026060,5,5,21,6,15,19,23,16
FBgn0029840,646,403,964,329,1132,913,1844,1445
FBgn0029839,72,53,133,45,216,159,298,267
FBgn0029838,21,18,23,14,46,50,38,40
FBgn0029837,77,38,172,67,143,104,361,291
FBgn0003302,32,14,60,24,59,61,124,93
FBgn0029003,101,48,109,40,167,181,243,223
FBgn0027546,43,32,115,52,117,90,201,179
FBgn0005390,6,2,26,12,31,14,28,17
FBgn0029851,93,56,174,55,43,96,129,123
FBgn0015818,42,40,94,37,132,99,175,145
FBgn0029853,32,24,27,18,68,93,96,93
FBgn0028982,744,458,1380,571,1701,1372,2464,1982
FBgn0029857,44,23,116,29,117,85,229,168
FBgn0029858,23,7,63,28,58,64,94,55
FBgn0029861,127,68,204,76,267,204,429,378
FBgn0029863,44,24,31,14,155,109,67,80
FBgn0029864,1008,519,1408,490,1530,1021,2652,2033
FBgn0029866,154,72,224,110,401,287,536,451
FBgn0029867,126,60,188,76,366,243,398,369
FBgn0052748,0,0,0,0,0,0,0,0
FBgn0029873,60,38,107,51,167,83,209,155
FBgn0014031,446,423,624,146,1021,1020,711,605
FBgn0000524,121,74,145,55,159,126,242,247
FBgn0014026,3278,2261,4528,1829,8680,7262,9010,7608
FBgn0029874,53,27,62,24,65,63,92,64
FBgn0003139,104,62,169,63,167,195,301,252
FBgn0003655,0,2,14,0,4,4,6,4
FBgn0016974,0,3,2,2,16,2,12,9
FBgn0029868,268,141,418,203,753,503,782,671
FBgn0043796,76,43,139,51,138,144,248,143
FBgn0028685,138,137,274,118,333,306,460,412
FBgn0026015,192,126,356,119,405,258,508,453
FBgn0029856,15,14,49,20,13,6,33,16
FBgn0052745,9,2,13,8,6,4,22,27
FBgn0040918,138,82,308,116,256,188,401,337
FBgn0004611,1439,825,3208,1114,3526,2525,5189,4399
FBgn0053127,23,18,64,14,28,43,70,59
FBgn0000061,2,4,4,4,2,10,8,6
FBgn0003278,27,24,67,23,78,44,102,88
FBgn0002593,3279,1974,3328,1334,8916,8229,5847,5267
FBgn0031254,2,2,4,0,9,8,6,1
FBgn0031255,6,4,11,7,28,40,34,24
FBgn0004583,328,184,384,186,723,442,974,853
FBgn0031256,60,41,98,49,124,109,129,153
FBgn0031257,161,72,401,131,344,269,541,526
FBgn0027592,99,58,198,81,262,232,330,293
FBgn0003963,168,79,204,104,290,193,417,374
FBgn0031263,9,8,16,11,24,10,17,30
